trial_index,arm_name,trial_status,generation_method,metric,guidance_strength,beta1,beta2
54,54_0,COMPLETED,BoTorch,-0.2392190396785736,0.031867382960812485,0.2564614385284988,0.514299723739182
55,55_0,COMPLETED,BoTorch,-0.2429397702217102,0.01035719571510302,0.21941848186699814,0.5818741869825855
56,56_0,COMPLETED,BoTorch,-0.2425270527601242,0.04906926324786793,0.22974244949952186,0.4129380080065791
57,57_0,COMPLETED,BoTorch,-0.23667043447494507,0.03783542412252292,0.32496484079693666,0.7095026543078683
58,58_0,COMPLETED,BoTorch,-0.2420928180217743,0.016678440169497804,0.31021887707186346,0.6687153250776026
59,59_0,COMPLETED,BoTorch,-0.23585288226604462,0.047777798754744076,0.5045154636311562,0.7273989521853279
60,60_0,COMPLETED,BoTorch,-0.2569751739501953,0.0725364079161272,0.0,0.2835147755660555
61,61_0,COMPLETED,BoTorch,-0.24474619328975677,0.037345037443080195,0.38628400507959904,0.30072443993301484
62,62_0,COMPLETED,BoTorch,-0.24251502752304077,0.018298345633651198,0.037321763838539995,0.5607450339200543
63,63_0,COMPLETED,BoTorch,-0.23173487186431885,0.018435449878153015,0.15214069143479594,0.4295739437736238
64,64_0,COMPLETED,BoTorch,-0.22820164263248444,0.017795725183665113,0.19871478303022003,0.5251445700652918
65,65_0,COMPLETED,BoTorch,-0.2415086030960083,0.029624515702675106,0.14146955945786463,0.3450548792178996
66,66_0,COMPLETED,BoTorch,-0.2464686632156372,0.015435722221287978,0.2643511684363667,0.4821459635136984
67,67_0,COMPLETED,BoTorch,-0.23857718706130981,0.02080920205873034,0.1581785794658833,0.5228833763409766
68,68_0,COMPLETED,BoTorch,-0.2487046718597412,0.01222314189267216,0.0,0.4020907010540665
69,69_0,COMPLETED,BoTorch,-0.24811166524887085,0.014978248260619621,0.12470357640265563,0.5166321241967748
70,70_0,COMPLETED,BoTorch,-0.27549493312835693,0.005967384851064093,0.23618972138475033,0.5913376109910736
71,71_0,COMPLETED,BoTorch,-0.24690137803554535,0.02113712242562484,0.0,0.3663061795826782
72,72_0,COMPLETED,BoTorch,-0.24466349184513092,0.04813242870840122,0.6154815592164053,0.6376876108607115
73,73_0,COMPLETED,BoTorch,-0.24161124229431152,0.053785200144167954,0.0,0.7308003725304393
74,74_0,COMPLETED,BoTorch,-0.24373319745063782,0.04028206866199868,0.08553769497991541,0.6368187893142203
75,75_0,COMPLETED,BoTorch,-0.2833135426044464,0.0762463329493151,0.0,0.999
76,76_0,COMPLETED,BoTorch,-0.24707631766796112,0.07033366065833212,0.0,0.6176546906640625
77,77_0,COMPLETED,BoTorch,-0.617861270904541,0.07291546148310638,0.999,0.999
78,78_0,COMPLETED,BoTorch,-0.23142889142036438,0.03096021300455523,0.4751505786522294,0.5296217735865867
79,79_0,COMPLETED,BoTorch,-0.24172323942184448,0.027479377754750574,0.38560287925554665,0.5796968413453616
80,80_0,COMPLETED,BoTorch,-0.24149452149868011,0.03891093115247046,0.5449801598118865,0.4654061047530668
81,81_0,COMPLETED,BoTorch,-0.2457120567560196,0.05478557337246652,0.19504302757130992,0.8286632315918803
82,82_0,COMPLETED,BoTorch,-0.49705904722213745,0.001,0.3851976231124503,0.6415726087795705
83,83_0,COMPLETED,BoTorch,-0.2589278817176819,0.008278198447892867,0.0,0.03944463332910993
84,84_0,COMPLETED,BoTorch,-0.24417737126350403,0.011732296051365313,0.11175011724826123,0.2128551026192635
85,85_0,COMPLETED,BoTorch,-0.2640230059623718,0.0073133122597950255,0.04368303430652771,0.268762977882399
86,86_0,COMPLETED,BoTorch,-0.2370830923318863,0.025353442684497747,0.2223121563741255,0.1587777799780964
