trial_index,arm_name,trial_status,generation_method,metric,guidance_strength,beta1,beta2,lmbda
77,77_0,COMPLETED,BoTorch,-0.6368501782417297,0.08327841663342472,0.2973281561983498,0.999,0.014315373389940928
78,78_0,COMPLETED,BoTorch,-0.5776674747467041,0.046075753275582415,0.3724023820455905,0.8050400983138993,0.010107198800056628
79,79_0,COMPLETED,BoTorch,-0.5824446678161621,0.02843768865332658,0.36803964227073,0.9577326021799256,0.01454854314826251
80,80_0,COMPLETED,BoTorch,-0.6065540909767151,0.04575682108320708,0.25798700310092804,0.7861588144076848,0.011946228880597017
81,81_0,COMPLETED,BoTorch,-0.5676023960113525,0.06514571615287058,0.39344486533546114,0.8380634558258347,0.007069888146386434
82,82_0,COMPLETED,BoTorch,-0.598534882068634,0.04263690621138166,0.4533684215258682,0.8419204143868153,0.016005621023432687
83,83_0,COMPLETED,BoTorch,-0.6116296648979187,0.07538924736162145,0.28510858262762356,0.7387408500751212,0.00846382832789895
84,84_0,COMPLETED,BoTorch,-0.6052979230880737,0.06311619179989954,0.48900921466720076,0.999,0.020381183107733722
85,85_0,COMPLETED,BoTorch,-0.5804315209388733,0.04597824599479358,0.48588207290703944,0.8796965292690216,0.008401211298649385
86,86_0,COMPLETED,BoTorch,-0.5890393257141113,0.03297529826200568,0.4858924854326597,0.999,0.009408071311256488
87,87_0,COMPLETED,BoTorch,-0.5712666511535645,0.05744548045270131,0.5429209131971032,0.999,0.007207924097618197
88,88_0,COMPLETED,BoTorch,-0.5815892815589905,0.06358288426815692,0.395357567983295,0.9699254949650813,0.008419671599533229
89,89_0,COMPLETED,BoTorch,-0.578628420829773,0.08399652470980618,0.5660596392948124,0.8918676367678849,0.00829846366069524
90,90_0,COMPLETED,BoTorch,-0.6026604771614075,0.040284244678813697,0.6436140387955059,0.999,0.009631931362727974
91,91_0,COMPLETED,BoTorch,-0.5681732892990112,0.05963228426036476,0.556632632991893,0.7743570763502495,0.010057026344595538
92,92_0,COMPLETED,BoTorch,-0.6096607446670532,0.11283904117462996,0.4943090386433427,0.7634495434419085,0.008602120561729834
93,93_0,COMPLETED,BoTorch,-0.5669130682945251,0.0045188410680555265,0.48339461108807974,0.0,0.001
94,94_0,COMPLETED,BoTorch,-0.6167641282081604,0.007839850685496636,0.46936180000067934,0.0,0.0011024983873826897
95,95_0,COMPLETED,BoTorch,-0.5509706735610962,0.0032462972963542085,0.2636804386395889,0.0,0.001
96,96_0,COMPLETED,BoTorch,-0.5110117793083191,0.005035036561576547,0.1451568836357368,0.0,0.001
97,97_0,COMPLETED,BoTorch,-0.6700041890144348,0.0035968932330771755,0.0008401373699547291,0.0,0.001
98,98_0,COMPLETED,BoTorch,-0.547258198261261,0.005603583377412342,0.3063775937356664,0.0,0.001
99,99_0,COMPLETED,BoTorch,-0.6662725210189819,0.0040050820111214545,0.31680024646180804,0.11655973299521882,0.001
100,100_0,COMPLETED,BoTorch,-0.6361105442047119,0.010643308438254565,0.2695245261422881,0.0,0.001
101,101_0,COMPLETED,BoTorch,-0.6084852814674377,0.0015378107066230558,0.4467008068522763,0.0,0.001
102,102_0,COMPLETED,BoTorch,-0.6713012456893921,0.020455468922631042,0.42402977768437755,0.999,0.007538326114071723
103,103_0,COMPLETED,BoTorch,-0.6237096190452576,0.07616525614808516,0.8542697733635419,0.999,0.00899690257921346
104,104_0,COMPLETED,BoTorch,-0.5704653263092041,0.004869001119107597,0.37082551049807155,0.0,0.001545137737162662
105,105_0,COMPLETED,BoTorch,-0.6218257546424866,0.006169574640498092,0.6841686829616519,0.0,0.001
106,106_0,COMPLETED,BoTorch,-0.5563784837722778,0.003598900134097233,0.3830754367794529,0.0,0.001
107,107_0,COMPLETED,BoTorch,-0.5791810750961304,0.1673456701182045,0.5755812891699053,0.999,0.006570596169499218
108,108_0,COMPLETED,BoTorch,-0.5680609941482544,0.08746078850760029,0.4999992259608254,0.9030399767970086,0.006031722076570823
109,109_0,COMPLETED,BoTorch,-0.6174548268318176,0.23858841770970748,0.4347708518468275,0.999,0.004409247522186622
110,110_0,COMPLETED,BoTorch,-0.5682061910629272,0.003057647062592537,0.2925320757468569,0.0,0.0015051262116824759
111,111_0,COMPLETED,BoTorch,-0.5760098099708557,0.10166111374350162,0.5514553970435598,0.9984188329063426,0.009502521941598834
112,112_0,COMPLETED,BoTorch,-0.5558615326881409,0.09748923183941152,0.5606556650830583,0.999,0.00585662730916699
113,113_0,COMPLETED,BoTorch,-0.5698256492614746,0.11946046834733352,0.6275749608182356,0.8501108354916971,0.005997943330523417
114,114_0,COMPLETED,BoTorch,-0.6317970752716064,0.18363097997864106,0.6376569958621011,0.999,0.011448568300153988
115,115_0,COMPLETED,BoTorch,-0.5890974402427673,0.002655398442375199,0.4965743721628818,0.0,0.0014211518421735245
116,116_0,COMPLETED,BoTorch,-0.5519002676010132,0.004881865030381786,0.24969478960918295,0.0,0.0015883345132585137
117,117_0,COMPLETED,BoTorch,-0.5751445293426514,0.003662857777231853,0.27966200319457063,0.0,0.002146256467770551
118,118_0,COMPLETED,BoTorch,-0.6116662621498108,0.06925018328645173,0.6104229033420537,0.8936512848272242,0.005876066191189916
119,119_0,COMPLETED,BoTorch,-0.5811073184013367,0.005038159702995794,0.40098535929916884,0.0,0.0018982371326425342
120,120_0,COMPLETED,BoTorch,-0.5648437738418579,0.0784893648118131,0.46836923388997487,0.999,0.006726575029905909
121,121_0,COMPLETED,BoTorch,-0.5545675158500671,0.004393025298711249,0.3202632017376514,0.0,0.0012741605439449775
122,122_0,COMPLETED,BoTorch,-0.565930962562561,0.0037005686098423546,0.37014024760747005,0.0,0.0013163508987721509
123,123_0,COMPLETED,BoTorch,-0.5970047116279602,0.0950983561849981,0.5745794012643738,0.999,0.004087564589061011
124,124_0,COMPLETED,BoTorch,-0.6213263273239136,0.21816515004988002,0.8564170655829116,0.999,0.0038307388049817325
125,125_0,COMPLETED,BoTorch,-0.5921326279640198,0.21938187941269638,0.61885492819114,0.6720879082584624,0.00799350935177516
126,126_0,COMPLETED,BoTorch,-0.5978964567184448,0.0017954437292890583,0.2710740674013039,0.0,0.0013658709229550565
127,127_0,COMPLETED,BoTorch,-0.6753782033920288,0.004322165701276818,0.31724137068524755,0.1103116408925505,0.001727681624432967
128,128_0,COMPLETED,BoTorch,-0.5460583567619324,0.004240584774912024,0.3210904104613831,0.0,0.001
129,129_0,COMPLETED,BoTorch,-0.575893759727478,0.16477318948531183,0.5984075502855573,0.8409116001523982,0.0031499461376175886
130,130_0,COMPLETED,BoTorch,-0.5929996371269226,0.06988954192391865,0.6872347969372712,0.4595058990160203,0.01865037310559358
131,131_0,COMPLETED,BoTorch,-0.6413260102272034,0.08705917189518646,0.41192933260408526,0.3677450601738938,0.01636241996068419
132,132_0,COMPLETED,BoTorch,-0.7186310291290283,0.19008642246524654,0.9733398795029817,0.6970690127713136,0.006398118835531698
133,133_0,COMPLETED,BoTorch,-0.5916787385940552,0.13944548677094176,0.4651692059811406,0.8635437279111943,0.0054616115761408615
134,134_0,COMPLETED,BoTorch,-0.5392411351203918,0.004349161098830643,0.27001613796828,0.0,0.001
135,135_0,COMPLETED,BoTorch,-0.6184878349304199,0.04657238500756741,0.005457621651206347,0.4966417285338932,0.014979109594930578
